archivo.html;antiguo;nuevo;tono
a_la_fiesta_del_señor.html;32;A01;Do
caminando_voy.html;38;A10;Re
comeremos_de_la_mesa.html;65b;A11;La
dios_es_amor.html;-;A12;Do
dios_esta_aqui.html;417;A13;Do
dios_nos_convoca.html;-;A14;Do
el_señor_nos_ha_reunido.html;-;A15;Do
el_señor_resucito.html;-;A16;Fa
en_el_señor_estamos_congregados.html;101;A17;Sim cej2
enciendeme.html;-;A18;Mi
eres_el_fuego,_el_amor.html;111;A19;Do cej4
abba,_padre.html;401;A02;Mim
esta_es_tu_fiesta.html;122;A20;Do
jesus_es_señor.html;-;A21;Do
jesus_esta_entre_nosotros.html;-;A22;Do
juntos_como_hermanos.html;145;A23;Do
mirad,_jesus_resucita_hoy.html;-;A24;Re
peregrino_(exodo_y_liberacion).html;-;A25;Mim
peregrinos_de_la_paz_y_la_alegria.html;208;A26;Fa
preparad_el_camino_al_señor.html;449;A27;Mi
que_alegria_cuando_me_dijeron.html;221;A28;Mi
que_ves_en_la_noche.html;220;A29;Mim
abre_tu_tienda_al_señor.html;8;A03;Re cej2
quiero_alabarte.html;451;A30;Re
reunidos_en_el_nombre_del_señor.html;453;A31;Sol
un_nuevo_sitio_disponed.html;270;A32;Re cej2
un_pueblo_que_camina_por_el_mundo.html;272;A33;Mim
una_voz_clama_en_el_desierto.html;-;A34;Re cej3
unidos_en_la_fiesta.html;275;A35;Sol cej2
vamos_a_preparar.html;284;A36;Do
vamos_cantando_al_señor.html;277;A37;Re
vamos_todos_al_banquete.html;285;A38;Sol
ven_a_celebrar.html;-;A39;Sol
acerquemonos_todos_al_altar.html;9;A04;La cej3
ven_a_la_fiesta.html;-;A40;Mi
ven,_salvador.html;283;A41;Mi
viviremos_firmes_en_la_fe.html;-;A42;Do cej2
vienen_con_alegria.html;278;A43;Do
yo_soy_la_luz_del_mundo.html;294;A44;Sol
alegre_la_mañana.html;16;A05;Re cej2
alegremonos,_hermanos.html;10;A06;Do
alrededor_de_tu_mesa.html;21;A07;Re cej2
bienvenidos.html;-;A08;Lacej3
caminamos_hacia_el_sol.html;35;A09;Sol cej2
agua,_lavame.html;-;B01;Do
confieso.html;-;B02;Mim
mi_dios_esta_vivo.html;168;B03;Re
oh,_señor,_mueve_mi_espiritu.html;191;B04;Do
padre,_vuelvo_a_ti.html;-;B05;Sol cej4
señor,_ten_piedad.html;460;B06;Do cej4
señor,_ten_piedad_de_nosotros.html;-;B07;Sim
ten_piedad_de_mi,_señor.html;-;B08;Lam
una_nueva_vida.html;274;B09;Lam
gloria_a_dios_(no_se_como_alabarte).html;-;C01;Do cej2
gloria_a_dios_en_el_cielo.html;128;C02;Do
gloria_a_dios,_gloria_al_padre.html;426;C03;Lam cej4
gloria_y_alabanza.html;303;C04;Do
gloria,_gloria_a_dios.html;-;C05;Re cej2
gloria,_gloria,_aleluya.html;127;C06;Sol
te_damos_gracias,_señor.html;258;C07;Do
todo_mi_ser_(alabo_tu_bondad).html;-;C08;Do
a_dios_den_gracias_los_pueblos.html;4;D01;Mim
a_donde_me_quereis_llevar.html;-;D02;Do
compartir_junto_al_señor.html;51;D10;Lam cej3
cristo_por_nosotros.html;59;D11;La cej1
el_caliz_que_bendecimos.html;-;D12;Mim
el_señor_es_mi_luz.html;96;D13;Re cej2
el_señor_es_mi_pastor.html;98;D14;Sol
el_señor_es_mi_pastor,_nada_me_falta_(completo).html;-;D15;Do
en_mi_debilidad.html;423;D16;Re
escucha,_tu,_la_palabra_de_dios.html;116;D17;Re
este_es_el_dia_en_que_actuo_el_señor.html;113;D18;Do cej2
gritad_que_dios_es_grande.html;124;D19;Do cej2
he_venido_a_servir.html;-;D20;Sol cej2
la_bondad_y_el_amor_del_señor.html;-;D21;Re
lampara_es_tu_palabra.html;-;D22;Do cej2
me_levantare.html;-;D23;Do
mueveme_mi_dios.html;-;D24;Sol
nada_has_pensado.html;-;D25;Do cej3
nada_nos_separara.html;438;D26;Do
no_adoreis_a_nadie.html;440;D27;Re
no_quiero_alejarme_de_ti.html;-;D28;Mim
oh,_dios,_tu_eres_mi_dios_(sed_de_dios).html;-;D29;Mim
a_ti_acudo.html;28;D03;Sim
oh,_mi_dios,_crea_en_mi.html;189;D30;Fa
ojala_escuchemos_hoy_su_voz.html;193;D31;Sol
os_doy_un_mandato_nuevo.html;192;D32;Do cej2
quiero_caminar.html;-;D33;Re
sois_la_sal.html;461;D34;Do cej2
te_amo,_señor.html;-;D35;Do
te_ensalzare,_señor.html;257;D36;Do
tu_palabra_me_da_vida.html;254;D37;Do cej2
tu_reino_es_vida.html;264;D38;Rem cej2
ven_y_descansate.html;-;D39;Lam
algo_nuevo.html;-;D04;Lam cej3
ven,_no_apartes_de_mi_los_ojos.html;-;D40;La
ven,_si_te_has_caido_levantate.html;-;D41;Mim
venimos_a_escuchar_tu_voz.html;471;D42;Sol
yendo_contigo.html;-;D43;Re
yo_celebrare.html;475;D44;Mim
ayudame_a_caminar.html;-;D05;Re
caminare_hoy_en_tu_presencia.html;-;D06;Mim
cantad_a_dios.html;45;D07;Sol
cantare_eternamente.html;41;D08;Rem
como_sal,_como_luz.html;-;D09;Sol
alelu-aleluya.html;-;E01;Do
aleluya,_ha_nacido_el_salvador.html;-;E10;Mi
canta_aleluya.html;413;E11;Lam cej2
aleluya_cohen.html;-;E12;Sol
aleluya_(junto_a_ti,_jesus).html;-;E02;Do cej2
aleluya_(santiago).html;403;E03;Mi
aleluya_cantara.html;405;E04;Sol
aleluya_por_esa_gente.html;406;E05;Do
aleluya,_creo_en_ti,_señor.html;-;E06;Sol cej2
aleluya,_el_señor_es_nuestro_rey.html;14;E07;Fa
aleluya,_es_la_fiesta_del_señor.html;13;E08;Re cej2
aleluya_de_adviento.html;-;E09;Mi
alimento_de_amor_(el_loco).html;-;F01;Lam
juntos_nos_acercamos.html;-;F10;Sol cej4
la_cena_del_señor.html;431;F11;Do
por_los_hombres.html;214;F12;Do
que_te_puedo_dar.html;450;F13;Sol
sigue_habiendo.html;-;F14;Do
te_ofrecemos.html;-;F15;Do
traemos_a_tu_altar.html;265;F16;Re
un_dia_abri_los_ojos.html;467;F17;Do cej2
un_niño_se_te_acerco.html;468;F18;La cej2
una_espiga_dorada.html;271;F19;Sol
andando_por_el_camino.html;26;F02;Lam cej2
yo_soy_la_vida_y_la_verdad.html;476;F20;La cej2
ante_ti,_señor.html;24;F03;Do cej2
aqui_tienes_el_pan.html;-;F04;Sol
cuando_el_pobre_nada_tiene.html;67;F05;Lam cej2
donde_hay_caridad_y_amor.html;84;F06;Lam cej3
en_la_comida_que_cristo_nos_da.html;94;F07;Do cej2
esto_que_te_doy.html;-;F08;La cej2
junto_al_vino_y_al_pan.html;-;F09;Re
santo_(cielo_y_tierra_pasaran).html;455;G01;Rem
santo_eres,_señor,_dios_nuestro.html;-;G10;Do cej2
santo_es_el_señor.html;-;G11;Re
santo_salvadoreño.html;231;G12;Re cej2
santo_zaireño.html;459;G13;Re cej2
santo,_santo,_santo.html;-;G14;Do
santo_(estan_llenos_de_tu_amor).html;-;G02;Lam cej2
santo_(händel).html;-;G03;Do
santo_(hosanna_en_el_cielo_al_señor).html;-;G04;Re
santo_(palazon).html;-;G05;Do cej1
santo_(mocedades).html;-;G06;Do
santo_(olguin).html;-;G07;La
santo_(santo_domingo_de_silos).html;-;G08;Do cej2
santo_(the_beatles).html;457;G09;Mi
en_el_mar_he_oido_hoy.html;107;H01;Sol
padre_nuestro_(erdozain).html;-;H02;Lam
padre_nuestro_(mexicano).html;444;H03;Sol cej2
padre_nuestro_zaragozano.html;-;H04;Sol
padre_nuestro,_padre_nuestro.html;-;H05;Do
padre_nuestro,_tu_que_estas.html;198;H06;Lam cej2
da_la_paz_al_mundo.html;-;I01;Mi
shalom_haberim.html;234;I10;Lam cej2
la_paz_te_doy.html;-;I02;La cej2
llevad_la_buena_noticia.html;-;I03;La cej2
no_se_canso_de_hacer_el_bien.html;442;I04;Mi
padre,_unenos.html;195;I05;Sol
paz_en_la_tierra.html;201;I06;Do cej2
paz,_señor,_en_el_cielo_y_la_tierra.html;200;I07;Re cej2
pon_tu_mano.html;448;I08;Do
por_la_paz_no_callare.html;209;I09;Lam cej2
cordero_de_dios_(algete).html;-;J01;La
cordero_de_dios_(aragües).html;-;J02;Mim cej5
cordero_de_dios_(boliviano).html;415;J03;Mim
cordero_de_dios_(manzano).html;-;J04;Re
cordero_de_dios_(maristas).html;-;J05;Mim
cordero_de_dios_(mies).html;-;J06;Do
abro_mi_ser.html;402;K01;Sol
adorare_tu_cuerpo_herido.html;-;K02;Mim
adorando.html;-;K03;Re
al_atardecer_de_la_vida.html;19;K04;Lam cej2
al_ver_jesus.html;12;K05;Do
alma_misionera.html;407;K06;Sol
alza_tu_mano_(comunidad).html;23;K07;Re cej2
amar_es_darse.html;410;K08;Re
amando_hasta_el_extremo.html;408;K09;Lam cej4
amaos_(como_el_padre_me_amo).html;409;K10;Do
bienaventuranzas_(33_el_musical).html;-;K11;Sol
bienaventuranzas_(kairoi).html;-;K12;Mim
bienaventurados_seremos,_señor.html;34;K13;Mim cej3
cerca_de_ti,_señor.html;-;K14;Re
cerca_esta_el_señor.html;52;K15;La cej3
con_vosotros_esta.html;60;K16;Mim cej1
cristo_ha_resucitado.html;65;K17;La cej1
corazon_inquieto.html;414;K18;Do
cristo_nos_da_la_libertad.html;63;K19;Do
dime_como_ser_pan.html;-;K20;La
